Ngày,Mua vào,Bán ra
9/29/2020,54.65,55.3
9/30/2020,55.25,55.75
10/1/2020,55.15,55.65
10/2/2020,55.65,56.15
10/3/2020,55.95,56.45
10/5/2020,55.95,56.45
10/6/2020,56,56.5
10/7/2020,55.55,56.05
10/8/2020,55.6,56.1
10/9/2020,55.75,56.25
10/10/2020,56,56.5
10/12/2020,55.95,56.45
10/13/2020,55.85,56.35
10/14/2020,55.6,56.1
10/15/2020,55.7,56.25
10/16/2020,55.85,56.3
10/17/2020,55.82,56.27
10/19/2020,55.75,56.25
10/20/2020,55.85,56.35
10/21/2020,55.95,56.45
10/22/2020,55.95,56.45
10/23/2020,55.88,56.38
10/24/2020,55.85,56.35
10/26/2020,55.8,56.3
10/27/2020,55.95,56.4
10/28/2020,55.95,56.4
10/29/2020,55.65,56.15
10/30/2020,55.7,56.2
10/31/2020,55.95,56.45
11/2/2020,55.95,56.45
11/3/2020,56.25,56.75
11/4/2020,56.2,56.7
11/5/2020,55.95,56.45
11/6/2020,56.15,56.65
11/7/2020,56.3,56.8
11/9/2020,56.4,56.9
11/10/2020,55.6,56.15
11/11/2020,55.85,56.35
11/12/2020,55.8,56.3
11/13/2020,55.9,56.4
11/14/2020,55.9,56.4
11/16/2020,55.95,56.45
11/17/2020,55.85,56.35
11/18/2020,55.7,56.2
11/19/2020,55.75,56.2
11/20/2020,55.7,56.15
11/21/2020,55.75,56.2
11/23/2020,55.75,56.2
11/24/2020,55.2,55.65
11/25/2020,54.8,55.25
11/26/2020,54.25,54.8
11/27/2020,54.5,55
11/28/2020,54.15,54.7
11/30/2020,53.88,54.43
12/1/2020,53.1,53.7
12/2/2020,54.1,54.75
12/3/2020,54.55,55.2
12/4/2020,54.75,55.4
12/5/2020,54.6,55.25
12/7/2020,54.55,55.1
12/8/2020,55.05,55.6
12/9/2020,54.95,55.5
12/10/2020,54.5,55.1
12/11/2020,54.75,55.25
12/12/2020,54.75,55.25
12/14/2020,54.7,55.2
12/15/2020,54.65,55.15
12/16/2020,54.85,55.35
12/17/2020,55,55.5
12/18/2020,55.05,55.55
12/21/2020,55.2,55.7
12/22/2020,55.15,55.65
12/23/2020,55,55.5
12/24/2020,55.25,55.75
12/25/2020,55.3,55.8
12/28/2020,55.4,55.9
12/29/2020,55.2,55.7
12/30/2020,55.45,55.95
12/31/2020,55.55,56.1
1/2/2021,55.6,56.15
1/4/2021,55.8,56.35
1/5/2021,56.35,56.9
1/6/2021,56.7,57.25
1/7/2021,56.4,56.95
1/8/2021,56.2,56.7
1/9/2021,55.3,56
1/11/2021,54.7,55.35
1/12/2021,55.75,56.35
1/13/2021,56.1,56.7
1/14/2021,55.9,56.5
1/15/2021,56,56.55
1/16/2021,55.8,56.4
1/18/2021,55.75,56.3
1/19/2021,55.9,56.45
1/20/2021,55.85,56.4
1/21/2021,56.25,56.8
1/22/2021,55.95,56.5
1/23/2021,55.85,56.4
1/25/2021,55.95,56.5
1/26/2021,56.05,56.55
1/27/2021,56.05,56.55
1/28/2021,56.05,56.55
1/29/2021,56.15,56.65
1/30/2021,56.2,56.7
2/1/2021,56.3,56.8
2/2/2021,56.55,57.05
2/3/2021,56.3,56.8
2/4/2021,56.3,56.8
2/5/2021,56.1,56.65
2/6/2021,56.35,56.9
2/8/2021,56.35,56.9
2/9/2021,56.75,57.3
2/17/2021,56.45,57
2/18/2021,56.35,56.85
2/19/2021,55.7,56.25
2/20/2021,55.75,56.4
2/21/2021,55.65,56.35
2/22/2021,55.55,56.05
2/23/2021,56.05,56.55
2/24/2021,56.05,56.55
2/25/2021,56.05,56.5
2/26/2021,55.9,56.3
2/27/2021,55.95,56.35
3/1/2021,55.95,56.35
3/2/2021,55.6,56
3/3/2021,55.75,56.15
3/4/2021,55.5,55.9
3/5/2021,55.45,55.85
3/6/2021,55.1,55.6
3/8/2021,55.25,55.65
3/9/2021,54.87,55.3
3/10/2021,55,55.4
3/11/2021,55.1,55.5
3/12/2021,55.35,55.75
3/13/2021,55.35,55.85
3/15/2021,55.45,55.85
3/16/2021,55.35,55.75
3/17/2021,55.22,55.62
3/18/2021,55.4,55.8
3/19/2021,55,55.4
3/20/2021,55.1,55.6
3/22/2021,55.15,55.55
3/23/2021,55.15,55.55
3/24/2021,55.1,55.5
3/25/2021,55.1,55.5
3/26/2021,54.95,55.35
3/27/2021,54.9,55.4
3/29/2021,54.85,55.25
3/30/2021,54.65,55.05
3/31/2021,54.25,54.65
4/1/2021,54.3,54.7
4/2/2021,54.7,55.1
4/3/2021,54.9,55.4
4/5/2021,54.92,55.42
4/6/2021,54.8,55.2
4/7/2021,54.95,55.35
4/8/2021,54.73,55.13
4/9/2021,55.03,55.43
4/10/2021,54.8,55.25
4/12/2021,54.75,55.15
4/13/2021,54.78,55.18
4/14/2021,54.97,55.37
4/15/2021,54.85,55.25
4/16/2021,55.1,55.48
4/23/2021,55.45,55.8
4/24/2021,55.15,55.65
4/26/2021,55.2,55.55
4/27/2021,55.15,55.5
4/28/2021,55.22,55.57
4/29/2021,55.45,55.8
5/3/2021,55.32,55.67
5/4/2021,55.47,55.82
5/5/2021,55.3,55.65
5/6/2021,55.38,55.73
5/7/2021,55.55,55.9
5/8/2021,55.65,56.1
5/10/2021,55.83,56.23
5/11/2021,55.95,56.3
5/12/2021,55.8,56.15
5/13/2021,55.67,56.02
5/14/2021,55.77,56.12
5/15/2021,55.92,56.37
5/17/2021,56.1,56.45
5/18/2021,56.15,56.5
5/19/2021,56.05,56.4
5/20/2021,55.9,56.25
5/21/2021,56.02,56.37
5/22/2021,56.08,56.48
5/24/2021,56.15,56.5
5/25/2021,56.02,56.37
5/26/2021,56.25,56.65
5/27/2021,56,56.4
5/28/2021,56.14,56.54
5/29/2021,56.34,56.82
5/31/2021,56.65,57.15
6/1/2021,56.6,57.3
6/2/2021,56.85,57.45
6/3/2021,57.05,57.65
6/4/2021,56.35,57
6/5/2021,56.6,57.25
6/7/2021,56.75,57.35
6/8/2021,56.9,57.5
6/9/2021,56.65,57.25
6/10/2021,56.55,57.15
6/11/2021,56.95,57.55
6/12/2021,56.7,57.3
6/14/2021,56.6,57.2
6/15/2021,56.55,57.15
6/16/2021,56.5,57.1
6/17/2021,56.4,57
6/18/2021,56.15,56.75
6/19/2021,56.15,56.75
6/21/2021,56.2,56.8
6/22/2021,56.5,57.1
6/23/2021,56.55,57.1
6/24/2021,56.5,57.05
6/25/2021,56.45,57
6/26/2021,56.5,57.1
6/28/2021,56.55,57.05
6/29/2021,56.45,56.95
6/30/2021,56.25,56.85
7/1/2021,56.3,56.9
7/2/2021,56.35,56.95
7/3/2021,56.6,57.2
7/5/2021,56.65,57.25
7/6/2021,56.75,57.35
7/7/2021,56.8,57.4
7/8/2021,56.85,57.45
7/9/2021,56.9,57.6
7/10/2021,56.75,57.5
7/12/2021,56.75,57.5
7/13/2021,56.6,57.35
7/14/2021,56.65,57.4
7/15/2021,56.85,57.6
7/16/2021,56.75,57.5
7/17/2021,56.75,57.5
7/19/2021,56.9,57.55
7/20/2021,56.9,57.55
7/21/2021,56.8,57.45
7/22/2021,56.8,57.45
7/23/2021,56.85,57.5
7/24/2021,56.85,57.5
7/26/2021,56.8,57.45
7/27/2021,56.6,57.3
7/28/2021,56.5,57.2
7/29/2021,56.65,57.35
7/30/2021,56.7,57.4
7/31/2021,56.55,57.2
8/2/2021,56.5,57.2
8/3/2021,56.6,57.3
8/4/2021,56.65,57.35
8/5/2021,56.55,57.25
8/6/2021,56.55,57.25
8/7/2021,56.3,57
8/9/2021,56.3,57
8/10/2021,56.25,56.95
8/11/2021,56.2,56.9
8/12/2021,56.4,57.1
8/13/2021,56.4,57.1
8/14/2021,56.55,57.25
8/17/2021,56.65,57.35
8/19/2021,56.55,57.25
8/20/2021,56.45,57.15
8/23/2021,56.4,57.1
8/24/2021,56.5,57.2
8/25/2021,56.45,57.15
8/26/2021,56.35,57.05
8/27/2021,56.4,57.1
8/28/2021,56.45,57.15
8/30/2021,56.6,57.3
8/31/2021,56.7,57.4
9/3/2021,56.65,57.35
